iter	Logloss
0	0.5932265633
1	0.5063563595
2	0.428716653
3	0.3632078947
4	0.3036131413
5	0.2552121282
6	0.2142377962
7	0.1801204064
8	0.1503834327
9	0.1259346826
10	0.1059042691
11	0.08915814651
12	0.07505155746
13	0.0633432398
14	0.05316592194
15	0.04472479181
16	0.03786164283
17	0.03152145838
18	0.0262973806
19	0.0219506606
20	0.0183649604
21	0.01540315028
22	0.01295329809
23	0.01092370042
24	0.009239138583
25	0.007838875945
26	0.006671197091
27	0.005730301634
28	0.004940045152
29	0.004345556209
30	0.003840079368
31	0.003408282097
32	0.003039380929
33	0.002622684426
34	0.002356078492
35	0.002045104603
36	0.001850363919
37	0.001616006598
38	0.001467262512
39	0.00128922173
40	0.001136985443
41	0.001042697572
42	0.0009296134829
43	0.0008580246743
44	0.0007947452832
45	0.0007489321227
46	0.000704326271
47	0.0006639913413
48	0.0005974996717
49	0.0005423338679
50	0.0005068756284
51	0.0004598942423
52	0.0004312998826
53	0.000405483452
54	0.0003912737637
55	0.0003708077459
56	0.0003619998628
57	0.0003421947564
58	0.0003259255767
59	0.0003112630544
60	0.0002949879894
61	0.000270760664
62	0.0002620076962
63	0.0002496615033
64	0.0002413629238
65	0.0002256752459
66	0.0002193980278
67	0.0002123233974
68	0.0002003059713
69	0.0001900315375
70	0.0001851251724
71	0.0001759660176
72	0.0001710418722
73	0.0001656521277
74	0.0001579709417
75	0.0001551997682
76	0.0001464505824
77	0.0001440641582
78	0.0001379808846
79	0.0001354674816
80	0.0001336550057
81	0.0001284079064
82	0.0001249206678
83	0.0001210650301
84	0.0001195679859
85	0.000117843561
86	0.0001144919012
87	0.0001097535873
88	0.0001061302105
89	0.0001051900597
90	0.0001041791925
91	0.0001012405582
92	0.0001003110175
93	9.719265463e-05
94	9.445149803e-05
95	9.251999053e-05
96	9.086791926e-05
97	8.927778836e-05
98	8.651390405e-05
99	8.58281875e-05
100	8.251216563e-05
101	8.187852022e-05
102	8.049523886e-05
103	7.756856681e-05
104	7.606077267e-05
105	7.228522849e-05
106	7.180035187e-05
107	7.077664171e-05
108	6.979244987e-05
109	6.842676732e-05
110	6.704862521e-05
111	6.5582603e-05
112	6.220306065e-05
113	6.01188574e-05
114	5.965000466e-05
115	5.924384349e-05
116	5.840872092e-05
117	5.640198457e-05
118	5.554094817e-05
119	5.516579863e-05
120	5.407983208e-05
121	5.240136e-05
122	4.990383586e-05
123	4.96512667e-05
124	4.951234123e-05
125	4.871742602e-05
126	4.818733749e-05
127	4.748244718e-05
128	4.619720008e-05
129	4.597531617e-05
130	4.373769705e-05
131	4.294316262e-05
132	4.273039673e-05
133	4.197728712e-05
134	4.110315393e-05
135	3.947283639e-05
136	3.92181561e-05
137	3.799530268e-05
138	3.759879055e-05
139	3.663246952e-05
140	3.540901772e-05
141	3.526223055e-05
142	3.46695437e-05
143	3.464952032e-05
144	3.390193593e-05
145	3.288801468e-05
146	3.245370162e-05
147	3.23891735e-05
148	3.191894011e-05
149	3.195020041e-05
150	3.131394134e-05
151	3.105930509e-05
152	3.080583708e-05
153	3.045773335e-05
154	3.012834487e-05
155	2.94679904e-05
156	2.930483741e-05
157	2.890776059e-05
158	2.847276886e-05
159	2.788058972e-05
160	2.770541235e-05
161	2.765243717e-05
162	2.731209153e-05
163	2.666761847e-05
164	2.643440179e-05
165	2.609053069e-05
166	2.538217968e-05
167	2.523993857e-05
168	2.517518249e-05
169	2.502627642e-05
170	2.499916326e-05
171	2.480894375e-05
172	2.43513357e-05
173	2.416257973e-05
174	2.340439305e-05
175	2.292123901e-05
176	2.243610076e-05
177	2.227111381e-05
178	2.2191313e-05
179	2.206492999e-05
180	2.19519313e-05
181	2.161167762e-05
182	2.106738492e-05
183	2.088569282e-05
184	2.081696704e-05
185	2.07281583e-05
186	2.048473048e-05
187	2.034055179e-05
188	2.016082188e-05
189	2.008013259e-05
190	1.956925406e-05
191	1.944037007e-05
192	1.918361232e-05
193	1.89045763e-05
194	1.872885366e-05
195	1.853358297e-05
196	1.836657555e-05
197	1.826663739e-05
198	1.788195408e-05
199	1.768517192e-05
200	1.728147935e-05
201	1.714998947e-05
202	1.706180371e-05
203	1.686133161e-05
204	1.670887287e-05
205	1.659414124e-05
206	1.657218546e-05
207	1.648123451e-05
208	1.64082489e-05
209	1.649087578e-05
210	1.630966937e-05
211	1.5922239e-05
212	1.579262583e-05
213	1.573313463e-05
214	1.565747449e-05
215	1.552345384e-05
216	1.561256306e-05
217	1.546029213e-05
218	1.503985944e-05
219	1.49881885e-05
220	1.497196128e-05
221	1.473727587e-05
222	1.471985061e-05
223	1.459634288e-05
224	1.440598479e-05
225	1.439499913e-05
226	1.427841281e-05
227	1.404290756e-05
228	1.402697045e-05
229	1.374995101e-05
230	1.371227183e-05
231	1.366790567e-05
232	1.336601113e-05
233	1.341763156e-05
234	1.323116675e-05
235	1.286413665e-05
236	1.285156959e-05
237	1.280567512e-05
238	1.268777549e-05
239	1.263947459e-05
240	1.253804051e-05
241	1.249440223e-05
242	1.238144369e-05
243	1.230179442e-05
244	1.223684148e-05
245	1.218137438e-05
246	1.215914403e-05
247	1.211723999e-05
248	1.211126147e-05
249	1.205067586e-05
250	1.204074447e-05
251	1.197242666e-05
252	1.189918461e-05
253	1.181773894e-05
254	1.177130179e-05
255	1.176927744e-05
256	1.163288532e-05
257	1.157003056e-05
258	1.146639857e-05
259	1.139596963e-05
260	1.135228862e-05
261	1.128191797e-05
262	1.107088243e-05
263	1.105157657e-05
264	1.111365293e-05
265	1.109688821e-05
266	1.095481677e-05
267	1.097921395e-05
268	1.093624139e-05
269	1.084995241e-05
270	1.088625936e-05
271	1.08355462e-05
272	1.082800699e-05
273	1.074483032e-05
274	1.070163629e-05
275	1.07152641e-05
276	1.062864097e-05
277	1.065430806e-05
278	1.06064145e-05
279	1.050198273e-05
280	1.051923379e-05
281	1.045910084e-05
282	1.048300844e-05
283	1.04291519e-05
284	1.012942418e-05
285	1.014186756e-05
286	1.008053528e-05
287	1.011060985e-05
288	9.917561677e-06
289	9.863664335e-06
290	9.765865151e-06
291	9.744602291e-06
292	9.755340573e-06
293	9.770429989e-06
294	9.762357822e-06
295	9.68449524e-06
296	9.690988592e-06
297	9.607509491e-06
298	9.50758687e-06
299	9.523608164e-06
300	9.436087475e-06
301	9.406035569e-06
302	9.386396208e-06
303	9.384443734e-06
304	9.311199741e-06
305	9.312999384e-06
306	9.304307476e-06
307	9.287338115e-06
308	9.281837514e-06
309	9.095152529e-06
310	9.099000488e-06
311	9.056680053e-06
312	9.020512338e-06
313	9.003339635e-06
314	8.968003422e-06
315	8.965831416e-06
316	8.91141471e-06
317	8.843929057e-06
318	8.812510742e-06
319	8.767173201e-06
320	8.742353147e-06
321	8.751869433e-06
322	8.743681995e-06
323	8.642242078e-06
