iter	Logloss
0	0.5956410036
1	0.5124054517
2	0.431651089
3	0.369723487
4	0.3080385649
5	0.2632259268
6	0.2240026061
7	0.1853201749
8	0.1533361297
9	0.1267027223
10	0.104654266
11	0.08644531312
12	0.07143275704
13	0.05907583657
14	0.04891509879
15	0.04061924847
16	0.03383044661
17	0.02845991645
18	0.02386320908
19	0.01995558842
20	0.01694379332
21	0.01432382569
22	0.0120784466
23	0.0104787481
24	0.008895727318
25	0.007674507821
26	0.006587106768
27	0.005705164761
28	0.004944187129
29	0.004394662496
30	0.003990910957
31	0.003642182285
32	0.003203696341
33	0.002813737487
34	0.002470343274
35	0.002188548321
36	0.00193561794
37	0.001760952956
38	0.001591122242
39	0.001472573296
40	0.001375676341
41	0.001235064072
42	0.001113360921
43	0.001008899443
44	0.000942685052
45	0.0008897071103
46	0.0008341066284
47	0.0007703660124
48	0.0007401627783
49	0.0007103238107
50	0.0006880011142
51	0.0006405230244
52	0.0005981023143
53	0.000563422619
54	0.0005296746722
55	0.0005088364339
56	0.0004829280104
57	0.0004598894008
58	0.0004368366868
59	0.0004143572451
60	0.0003971167597
61	0.0003796713883
62	0.0003668101547
63	0.0003525485701
64	0.0003390142193
65	0.0003276404132
66	0.0003173213616
67	0.0003070306302
68	0.0002998823558
69	0.0002905924477
70	0.0002738447279
71	0.0002664210266
72	0.0002609499776
73	0.0002528306477
74	0.0002469778873
75	0.0002418877517
76	0.0002358417786
77	0.0002308872129
78	0.0002258616796
79	0.0002212776717
80	0.0002134423241
81	0.0002085641453
82	0.0002031101701
83	0.000197739467
84	0.0001937989941
85	0.0001868124571
86	0.0001834781236
87	0.0001811942947
88	0.0001767388231
89	0.0001695515016
90	0.0001668589586
91	0.0001646301557
92	0.0001605923063
93	0.0001582310513
94	0.0001559645746
95	0.00015247795
96	0.0001472436055
97	0.0001438855451
98	0.0001399319513
99	0.0001378888912
100	0.0001314292303
101	0.000129554032
102	0.0001271206029
103	0.0001220139874
104	0.0001196646748
105	0.000110550154
106	0.000107377326
107	0.0001020957687
108	9.949425522e-05
109	9.715496421e-05
110	9.487937528e-05
111	9.280243666e-05
112	8.948436978e-05
113	8.761349558e-05
114	8.472849156e-05
115	8.261733104e-05
116	8.186477414e-05
117	7.913018685e-05
118	7.805280962e-05
119	7.53297054e-05
120	7.365491579e-05
121	7.271864356e-05
122	7.065348495e-05
123	6.96247171e-05
124	6.85202862e-05
125	6.749954026e-05
126	6.68739607e-05
127	6.502790387e-05
128	6.346503135e-05
129	6.265187164e-05
130	6.196640841e-05
131	6.120150082e-05
132	6.021820132e-05
133	5.902692587e-05
134	5.79588047e-05
135	5.617625509e-05
136	5.565844944e-05
137	5.479803512e-05
138	5.418984024e-05
139	5.351106735e-05
140	5.244332199e-05
141	5.184360371e-05
142	5.041479324e-05
143	4.955509806e-05
144	4.815357324e-05
145	4.705474701e-05
146	4.614581146e-05
147	4.546654677e-05
148	4.484240549e-05
149	4.429379271e-05
150	4.356962106e-05
151	4.301740793e-05
152	4.14849157e-05
153	4.007499315e-05
154	3.941720529e-05
155	3.904512107e-05
156	3.76061127e-05
157	3.718057532e-05
158	3.614378555e-05
159	3.572213155e-05
160	3.512348966e-05
161	3.450574179e-05
162	3.440816114e-05
163	3.383849373e-05
164	3.328386104e-05
165	3.281230783e-05
166	3.242725353e-05
167	3.198162193e-05
168	3.167432315e-05
169	3.128842907e-05
170	3.095625493e-05
171	3.025792136e-05
172	3.000171648e-05
173	2.965679727e-05
174	2.940611355e-05
175	2.894677649e-05
176	2.847093395e-05
177	2.814583524e-05
178	2.744784036e-05
179	2.725024558e-05
180	2.662250395e-05
181	2.652971835e-05
182	2.620516712e-05
183	2.580343567e-05
184	2.546029113e-05
185	2.528253771e-05
186	2.487699017e-05
187	2.469875887e-05
188	2.447591987e-05
189	2.4063051e-05
190	2.382021985e-05
191	2.367420148e-05
192	2.348525728e-05
193	2.314844351e-05
194	2.26784469e-05
195	2.231340563e-05
196	2.229089184e-05
197	2.221759964e-05
198	2.183517137e-05
199	2.175860359e-05
200	2.139735754e-05
201	2.115791795e-05
202	2.092072394e-05
203	2.080812482e-05
204	2.069321516e-05
205	2.057663291e-05
206	2.029874241e-05
207	2.001906797e-05
208	1.969430563e-05
209	1.933697195e-05
210	1.908758732e-05
211	1.896962246e-05
212	1.880605471e-05
213	1.861304967e-05
214	1.828937185e-05
215	1.807830938e-05
216	1.784489783e-05
217	1.745702379e-05
218	1.742412419e-05
219	1.734477148e-05
220	1.721183687e-05
221	1.715890916e-05
222	1.688994994e-05
223	1.661417047e-05
224	1.662423034e-05
225	1.628006507e-05
226	1.608014236e-05
227	1.599268537e-05
228	1.577966615e-05
229	1.560766239e-05
230	1.560269451e-05
231	1.550906102e-05
232	1.527002856e-05
233	1.523956477e-05
234	1.504517828e-05
235	1.491924371e-05
236	1.483255226e-05
237	1.470052818e-05
238	1.456603813e-05
239	1.44280266e-05
240	1.432745571e-05
241	1.415826009e-05
242	1.407030667e-05
243	1.392677166e-05
244	1.375163384e-05
245	1.359468799e-05
246	1.354639991e-05
247	1.343168627e-05
248	1.334161602e-05
249	1.328595672e-05
250	1.330567978e-05
251	1.309552668e-05
252	1.312023386e-05
253	1.299153755e-05
254	1.294722794e-05
255	1.277108448e-05
256	1.264960859e-05
257	1.261201484e-05
258	1.245211819e-05
259	1.231388512e-05
260	1.223420764e-05
261	1.212356644e-05
262	1.208658048e-05
263	1.210746345e-05
264	1.202177532e-05
265	1.184555994e-05
266	1.179411807e-05
267	1.164321766e-05
268	1.155559829e-05
269	1.157860156e-05
270	1.140873667e-05
271	1.131696368e-05
272	1.120110521e-05
273	1.111565487e-05
274	1.108958016e-05
275	1.099598611e-05
276	1.090586019e-05
277	1.083126425e-05
278	1.066666882e-05
279	1.06466697e-05
280	1.045626634e-05
281	1.048787844e-05
282	1.038825636e-05
283	1.038800814e-05
284	1.041401905e-05
285	1.024525607e-05
286	1.018322077e-05
287	1.014430357e-05
288	1.013007963e-05
289	9.926106521e-06
290	9.872995543e-06
291	9.75987678e-06
292	9.686749287e-06
293	9.656410762e-06
294	9.552154267e-06
295	9.510390659e-06
296	9.436541124e-06
297	9.407067889e-06
298	9.351450932e-06
299	9.290895091e-06
300	9.279798841e-06
301	9.231950361e-06
302	9.247644482e-06
303	9.11244689e-06
304	9.095855581e-06
305	8.997843446e-06
306	8.929407777e-06
307	8.992207458e-06
308	8.811709701e-06
309	8.843034148e-06
310	8.739605827e-06
311	8.656525173e-06
312	8.586760251e-06
313	8.48857413e-06
314	8.418013512e-06
315	8.411208918e-06
316	8.285869375e-06
317	8.20406114e-06
318	8.256004092e-06
319	8.177902918e-06
320	8.171360463e-06
321	7.999003514e-06
322	8.005010672e-06
323	7.909594408e-06
324	7.968498541e-06
325	7.795497843e-06
326	7.784678231e-06
327	7.700586139e-06
328	7.712387032e-06
329	7.71689443e-06
330	7.598855922e-06
331	7.635107073e-06
332	7.521059804e-06
333	7.465918989e-06
334	7.451052462e-06
335	7.276235349e-06
336	7.199343959e-06
337	7.25416696e-06
338	7.236291054e-06
339	7.164251555e-06
340	7.186234691e-06
341	7.100196275e-06
342	7.059477742e-06
343	7.011491232e-06
344	6.919475816e-06
345	6.871411592e-06
346	6.903405305e-06
347	6.875883034e-06
348	6.843782029e-06
349	6.849482392e-06
350	6.729358951e-06
351	6.694892316e-06
352	6.652857289e-06
353	6.677331326e-06
354	6.607594821e-06
355	6.669755973e-06
356	6.558667047e-06
357	6.553287979e-06
358	6.599044567e-06
359	6.445315143e-06
360	6.505434279e-06
361	6.45967595e-06
362	6.348149739e-06
363	6.345671018e-06
364	6.251743495e-06
365	6.246637585e-06
366	6.252409282e-06
367	6.213268802e-06
368	6.222810777e-06
369	6.175432058e-06
370	6.083508854e-06
371	6.101961814e-06
372	6.098945476e-06
373	6.117042924e-06
374	5.928440317e-06
375	5.90909017e-06
376	5.870291283e-06
377	5.886351354e-06
378	5.885488384e-06
379	5.832997376e-06
380	5.821312473e-06
381	5.769478552e-06
382	5.773221572e-06
383	5.755107886e-06
384	5.771767629e-06
385	5.696765727e-06
386	5.74857239e-06
387	5.68339664e-06
388	5.648111111e-06
389	5.62021071e-06
390	5.574958101e-06
391	5.559580055e-06
392	5.560085194e-06
393	5.520224993e-06
394	5.517151239e-06
395	5.517460934e-06
396	5.478783258e-06
397	5.467278141e-06
398	5.443108581e-06
399	5.422613605e-06
400	5.395466563e-06
401	5.329543253e-06
402	5.300135553e-06
403	5.251625345e-06
404	5.219185648e-06
405	5.186082485e-06
406	5.117537785e-06
407	5.158699402e-06
408	5.111258049e-06
409	5.106335983e-06
410	5.126488786e-06
411	5.08793986e-06
412	5.089389163e-06
413	4.994767436e-06
414	4.95146637e-06
415	4.977464524e-06
416	4.974765421e-06
417	4.918529073e-06
418	4.903351111e-06
419	4.882538901e-06
420	4.855310376e-06
421	4.867859699e-06
422	4.883913391e-06
423	4.778434645e-06
424	4.750669082e-06
425	4.717212437e-06
426	4.728473683e-06
427	4.718088457e-06
428	4.719010003e-06
429	4.679683648e-06
430	4.675009224e-06
431	4.680645791e-06
432	4.605599523e-06
433	4.588298641e-06
434	4.530998369e-06
435	4.53883789e-06
436	4.492212821e-06
437	4.50892215e-06
438	4.439979312e-06
439	4.448379358e-06
440	4.350815237e-06
441	4.385753374e-06
442	4.345014833e-06
443	4.340662282e-06
444	4.361143338e-06
445	4.304452307e-06
446	4.2995546e-06
447	4.30503893e-06
448	4.267760971e-06
449	4.234527608e-06
450	4.228285859e-06
451	4.230443866e-06
452	4.262751333e-06
453	4.181712696e-06
454	4.173989746e-06
455	4.09429805e-06
456	4.129137595e-06
457	4.040177373e-06
458	4.050076019e-06
459	4.056691258e-06
460	4.021734853e-06
461	4.004258535e-06
462	4.012836627e-06
463	3.964866646e-06
464	3.947880389e-06
465	3.957493408e-06
466	3.917244347e-06
467	3.901339703e-06
468	3.932018372e-06
469	3.85476828e-06
470	3.83695472e-06
471	3.814595194e-06
472	3.868284096e-06
473	3.830654975e-06
474	3.815978963e-06
475	3.808240354e-06
476	3.795710169e-06
477	3.773700065e-06
478	3.799182351e-06
479	3.785550254e-06
480	3.762660941e-06
481	3.753595688e-06
482	3.746539395e-06
483	3.723256293e-06
484	3.693530198e-06
485	3.692822945e-06
486	3.690235773e-06
487	3.672229667e-06
