iter	Logloss
0	0.1242748665
1	0.02462098944
2	0.006252808572
3	0.002135617589
4	0.001051440468
5	0.0004499947517
6	0.0002846186662
7	0.0001604063583
8	9.958864243e-05
9	6.881785374e-05
10	5.383886235e-05
11	4.78126832e-05
12	4.406061409e-05
13	3.955801339e-05
14	3.637933627e-05
15	2.696356334e-05
16	2.49385257e-05
17	2.353131078e-05
18	2.313234105e-05
19	1.985363608e-05
20	1.96014414e-05
21	1.981875467e-05
22	1.960278486e-05
23	1.960278762e-05
24	1.924612838e-05
25	1.861294718e-05
26	1.864533242e-05
27	1.67300599e-05
28	1.669886055e-05
29	1.654611321e-05
30	1.65581421e-05
31	1.283481625e-05
32	1.302140285e-05
33	1.298718211e-05
34	1.035051726e-05
35	8.586536671e-06
36	8.853061519e-06
37	8.544733432e-06
38	8.552673905e-06
39	7.537756358e-06
40	7.139889589e-06
41	7.067463352e-06
42	7.110181577e-06
43	7.022991865e-06
44	6.937284513e-06
45	5.984691732e-06
46	5.585686759e-06
47	5.607372405e-06
48	5.61956542e-06
49	5.607044489e-06
50	5.54420107e-06
51	5.365599167e-06
52	5.286544811e-06
53	5.229885493e-06
54	3.996685446e-06
55	4.006166674e-06
56	4.114971197e-06
57	3.660097498e-06
58	3.694741527e-06
59	3.625309726e-06
60	3.552780173e-06
61	3.306622397e-06
62	3.296412773e-06
63	3.176989509e-06
64	2.811475848e-06
65	2.811439912e-06
66	2.612191397e-06
67	2.634248324e-06
68	2.516725694e-06
69	2.503640499e-06
70	2.524516549e-06
71	2.409605671e-06
72	2.350823019e-06
73	2.360774353e-06
74	2.284709078e-06
75	2.308101339e-06
76	2.2809783e-06
77	2.332046634e-06
78	2.33668566e-06
79	2.243387865e-06
80	1.845852295e-06
81	1.750630542e-06
82	1.639704068e-06
83	1.676882102e-06
84	1.659186907e-06
85	1.633705866e-06
86	1.617800905e-06
87	1.61794655e-06
88	1.653420734e-06
89	1.688144409e-06
90	1.622555687e-06
91	1.710666604e-06
92	1.634146946e-06
93	1.638318804e-06
94	1.642786616e-06
95	1.59830148e-06
96	1.646692928e-06
97	1.657075667e-06
98	1.589405594e-06
99	1.58965058e-06
100	1.560825937e-06
101	1.596836916e-06
102	1.606349589e-06
103	1.5657642e-06
104	1.596598149e-06
105	1.562248346e-06
106	1.579736046e-06
107	1.615726292e-06
108	1.571593433e-06
109	1.569473555e-06
110	1.591936835e-06
111	1.551628395e-06
112	1.468523121e-06
113	1.464327939e-06
114	1.539541634e-06
115	1.551388419e-06
116	1.507292878e-06
117	1.469306629e-06
118	1.458730734e-06
119	1.357320302e-06
120	1.336391039e-06
121	1.280185931e-06
122	1.239946944e-06
123	1.135522121e-06
124	1.127638748e-06
125	1.125374608e-06
126	1.12829769e-06
127	1.12829769e-06
128	1.095464542e-06
129	1.107591386e-06
130	1.111988536e-06
131	1.095672816e-06
132	1.084659296e-06
133	1.076539575e-06
134	1.041771585e-06
135	1.082724022e-06
136	1.06787995e-06
137	9.941381622e-07
138	9.575363994e-07
139	9.575363994e-07
140	9.57536313e-07
141	9.449394505e-07
142	9.796755649e-07
143	9.850875605e-07
144	1.028275286e-06
145	1.039238529e-06
146	9.883289702e-07
147	1.025458975e-06
148	9.18823224e-07
149	9.188233104e-07
150	9.18823224e-07
151	9.866298713e-07
152	9.809338431e-07
153	1.031398003e-06
154	1.008317936e-06
155	1.00272436e-06
156	9.302302251e-07
157	9.51434018e-07
158	9.219783354e-07
159	9.219784218e-07
160	9.401261865e-07
161	9.463821598e-07
162	8.945649578e-07
163	8.590457669e-07
164	8.242269824e-07
165	8.254516569e-07
166	8.607155813e-07
167	8.260800186e-07
168	7.68210711e-07
169	7.362848606e-07
170	7.362852925e-07
171	7.658811773e-07
172	7.455507327e-07
173	7.090195029e-07
174	7.062634452e-07
175	6.716613997e-07
176	6.696377971e-07
177	6.625735662e-07
178	6.565259958e-07
179	6.493276529e-07
180	6.33723051e-07
181	6.278562404e-07
182	6.29139311e-07
183	6.20723593e-07
184	6.066788812e-07
185	6.198756849e-07
186	5.670721002e-07
187	5.76258153e-07
188	5.568040803e-07
189	5.352176467e-07
